iteration,vdiffx,vdiffy,cx_raw,cy_raw,next_vdiffx,next_vdiffy
0,10.0,-10.0,672.4045732315611,380.0375762904749,-10.0,10.0
1,10.0,10.0,689.8123329443891,331.0509534230196,0.0,0.0
2,10.0,-10.0,684.827563507629,391.5229526651768,0.0,0.0
3,0.0,0.0,648.4496053647481,360.21911206693136,-10.0,10.0
4,10.0,-10.0,684.8447133445115,391.4743324955575,-10.0,-10.0
5,-10.0,-10.0,606.909609933257,388.9042533079203,10.0,-10.0
6,10.0,10.0,689.8314137973226,331.1006250170583,0.0,0.0
7,-10.0,10.0,611.9555642831356,329.35695153001865,-10.0,-10.0
8,0.0,0.0,648.4135738844881,360.25987648348763,-10.0,10.0
9,10.0,-10.0,684.7787143735662,391.4840016413464,-10.0,-10.0
10,10.0,10.0,689.7144943757962,332.76661340445725,10.0,-10.0
11,-10.0,-10.0,606.9164368636724,388.9544735329723,10.0,-10.0
12,10.0,-10.0,684.8536176735955,391.4990505444252,-10.0,-10.0
13,0.0,0.0,648.3972986964142,360.21040816802434,10.0,10.0
14,10.0,10.0,689.8263888019698,331.1626954092318,-10.0,-10.0
15,-10.0,10.0,611.9908140043244,329.3986210061976,10.0,-10.0
16,-10.0,-10.0,606.9431217429852,389.0224497789887,-10.0,10.0
17,10.0,10.0,689.862144654105,331.1567522051243,0.0,0.0
18,-10.0,-10.0,606.9310524382371,388.9211718213103,10.0,-10.0
19,-10.0,10.0,611.952218616756,329.3624719051988,10.0,-10.0
20,-10.0,-10.0,606.95701785839,388.92045077590154,10.0,-10.0
21,-10.0,10.0,612.0272322923342,329.37735092602696,10.0,-10.0
22,-10.0,-10.0,606.8899518630257,388.90547536938857,10.0,-10.0
23,0.0,0.0,648.4514435114363,360.23567470646464,-10.0,10.0
24,10.0,10.0,689.797519068679,331.10658254059194,-10.0,-10.0
25,10.0,-10.0,684.8299206511815,391.51557366299033,0.0,0.0
26,-10.0,10.0,612.0706304520168,329.41068777784966,10.0,10.0
27,0.0,0.0,648.5192192343201,360.2604624224097,10.0,10.0
28,-10.0,10.0,612.0039968557611,329.4213578975693,10.0,10.0
29,0.0,0.0,648.528831397078,360.2714599804828,10.0,10.0
30,10.0,10.0,689.8637457028676,331.1128244379076,-10.0,-10.0
31,-10.0,-10.0,606.9883098108644,388.95013260680406,-10.0,10.0
32,10.0,10.0,689.8737306272442,331.0617028892661,10.0,-10.0
33,-10.0,10.0,611.970543685205,329.3463980577682,0.0,0.0
34,10.0,-10.0,684.8291205316117,391.4625362929001,10.0,10.0
35,-10.0,10.0,611.8751462484346,329.4787028621012,-10.0,-10.0
36,0.0,0.0,648.4946876544742,360.221659679256,10.0,10.0
37,-10.0,-10.0,606.9851146253095,388.88996565470217,0.0,0.0
38,10.0,-10.0,684.412973801182,391.4385254138376,10.0,10.0
39,0.0,0.0,648.6584990503055,360.70221998162395,10.0,-10.0
40,10.0,-10.0,684.8370490122442,391.49131721725774,-10.0,10.0
41,0.0,0.0,648.4740430455928,360.23112731447736,-10.0,10.0
42,-10.0,-10.0,606.9936209313908,388.8835347161051,10.0,-10.0
43,10.0,-10.0,684.8835405859404,391.40146212844866,10.0,10.0
44,-10.0,-10.0,606.93435278353,388.84584736825053,10.0,10.0
45,10.0,-10.0,684.9068851469636,391.5095200909057,10.0,10.0
46,0.0,0.0,648.5584517814337,360.243650398131,10.0,10.0
47,-10.0,-10.0,606.9819409148432,388.9097928114773,-10.0,10.0
48,-10.0,10.0,612.0663160417907,329.3643970738273,0.0,0.0
49,10.0,10.0,689.869242486698,331.0956453264134,-10.0,10.0
50,-10.0,10.0,612.1383719652413,329.36985676281006,-10.0,-10.0
51,-10.0,-10.0,607.0558649760845,388.9134052850375,-10.0,10.0
52,-10.0,10.0,612.0664088549734,329.4169854985348,10.0,-10.0
53,-10.0,-10.0,607.0017323759549,388.9033062485823,-10.0,10.0
54,-10.0,10.0,612.0827695880425,329.38086302804805,10.0,-10.0
55,0.0,0.0,648.5622299715743,360.30613003041043,10.0,10.0
56,10.0,-10.0,684.9308999214837,391.58259451132136,-10.0,-10.0
57,0.0,0.0,648.5330317041584,360.26720123790375,10.0,10.0
58,-10.0,10.0,612.1199254285926,329.4121309723994,0.0,0.0
59,10.0,10.0,689.9710415068281,331.1313939476634,-10.0,10.0
60,10.0,-10.0,684.9626892280006,391.50955899223345,10.0,10.0
61,-10.0,10.0,612.0765589888069,329.41582310529617,10.0,10.0
62,10.0,-10.0,684.8090854005608,391.56465564721617,10.0,10.0
63,-10.0,10.0,611.9795580637231,329.4321511408766,10.0,-10.0
64,10.0,10.0,689.8222511210801,331.20582155195285,10.0,-10.0
65,-10.0,-10.0,606.9866198983162,388.9531550324976,10.0,-10.0
66,0.0,0.0,648.4981456046318,360.272716737388,10.0,-10.0
67,10.0,10.0,689.9104901938503,331.1171214005812,0.0,0.0
68,10.0,-10.0,684.8454479824871,391.5412618675755,10.0,10.0
69,-10.0,-10.0,606.9356320275824,388.9268135738176,10.0,10.0
70,10.0,-10.0,684.8343467592408,391.45275192235823,10.0,10.0
71,-10.0,10.0,611.9341903947512,329.6460089222184,-10.0,-10.0
72,10.0,-10.0,684.8758711366271,391.5414711489888,0.0,0.0
73,10.0,10.0,689.8573778801866,331.1229143218532,-10.0,10.0
74,10.0,-10.0,684.8021664236859,391.50766217008317,-10.0,10.0
75,0.0,0.0,648.4311058829057,360.2815559670412,-10.0,10.0
76,10.0,-10.0,684.8420895196183,391.6052241995496,-10.0,-10.0
77,-10.0,10.0,611.9984963757983,329.49677448379856,-10.0,-10.0
78,10.0,-10.0,684.7393730418265,391.5203909968688,0.0,0.0
79,-10.0,-10.0,606.9413166209425,388.973885323403,-10.0,10.0
80,10.0,-10.0,684.7118011209908,391.56958944063757,10.0,10.0
81,0.0,0.0,648.4061288898312,360.3396007887525,10.0,-10.0
82,10.0,10.0,689.7212478456019,331.07004067924197,0.0,0.0
83,-10.0,10.0,611.9088317855375,329.42972976055444,-10.0,-10.0
84,0.0,0.0,648.3353204421231,360.3324225209997,-10.0,10.0
85,-10.0,10.0,612.0455580526624,329.4731765495677,0.0,0.0
86,-10.0,-10.0,606.8782286688919,388.94741256758306,-10.0,10.0
87,-10.0,10.0,612.0157738810441,329.35211196681865,10.0,-10.0
88,10.0,10.0,689.797758466591,331.13801596712466,10.0,-10.0
89,-10.0,10.0,612.039238612124,329.34122522632515,0.0,0.0
90,-10.0,-10.0,606.9503190889333,388.93448848738666,-10.0,10.0
91,-10.0,10.0,612.005703869358,329.38043674970834,-10.0,-10.0
92,10.0,-10.0,684.9615369308103,391.50871601883455,10.0,10.0
93,-10.0,10.0,612.0958897180777,329.4949228924737,10.0,10.0
94,10.0,10.0,689.8613444256777,331.19583840524405,10.0,-10.0
95,0.0,0.0,648.4731928756567,360.34600875872394,10.0,10.0
96,-10.0,-10.0,607.0692366453263,388.95231600538,10.0,10.0
97,-10.0,10.0,612.1260745042009,329.4268703544606,0.0,0.0
98,10.0,-10.0,684.9450849103177,391.460787319827,10.0,10.0
99,-10.0,-10.0,607.0268903184992,388.9040015454905,-10.0,10.0
